,Timestamp,I come to lecture:,I've had prior machine learning / data science experience,Which section are you in?,"About how long, in hours, did you study for exam 1?",What year are you?,Did you do the readings?,How many hours a day on average do you spend on sites with infinite scroll?,How many hours of sleep did you get the night before the exam?,Did you leave the exam early?,What grade do you think you got?,I wanted the extra credit but just put down random responses (you'll still get the extra credit if you say yes),Total Score,Max Points
51,10/19/2025 12:36:38,More than half the time,Some,2:00pm,5.0,Junior,Some of them,4.0,8.0,No,B,No,39.3,65.0
52,10/19/2025 12:41:11,Always,Some,2:00pm,6.0,Senior,All of them,2.0,8.0,No,B,No,53.9,65.0
53,10/19/2025 12:47:10,More than half the time,Some,9:30am,10.0,Junior,Some of them,2.0,5.0,No,B,No,48.4,65.0
54,10/19/2025 12:48:10,Always,None,2:00pm,10.0,Junior,Some of them,5.0,7.5,No,B,No,48.5,65.0
55,10/19/2025 12:50:01,More than half the time,Some,2:00pm,10.0,Junior,All of them,0.5,6.0,No,C,No,43.8,65.0
56,10/19/2025 12:51:27,More than half the time,Some,2:00pm,4.0,Junior,Some of them,3.0,7.0,No,C,No,37.9,65.0
57,10/19/2025 12:51:38,Always,Some,2:00pm,3.0,Junior,All of them,4.0,6.0,No,B,No,55.5,65.0
58,10/19/2025 13:00:04,More than half the time,None,2:00pm,18.0,Junior,None of them,0.0,3.0,No,D,No,21.4,65.0
59,10/19/2025 13:01:03,Always,None,2:00pm,3.0,Junior,Some of them,3.0,7.0,No,C,No,49.9,65.0
60,10/19/2025 13:01:14,Always,Some,2:00pm,10.0,Junior,All of them,3.0,8.0,No,C,No,42.2,65.0
61,10/19/2025 13:17:06,Always,Some,2:00pm,18.0,Junior,All of them,0.0,6.0,No,B,No,38.4,65.0
62,10/19/2025 13:24:40,Always,Some,9:30am,10.0,Junior,All of them,1.0,8.0,Yes,A,No,53.5,65.0
63,10/19/2025 13:26:10,Always,Some,9:30am,5.0,Sophomore,All of them,2.0,8.0,No,A,No,57.3,65.0
64,10/19/2025 13:29:17,Always,None,9:30am,10.0,Sophomore,None of them,1.5,5.0,No,C,No,34.8,65.0
65,10/19/2025 13:32:10,Always,Some,9:30am,5.0,Junior,I don't want to respond,3.0,6.0,No,B,No,38.5,65.0
66,10/19/2025 13:34:19,Always,Some,2:00pm,11.0,Senior,All of them,2.0,8.0,No,B,No,45.9,65.0
67,10/19/2025 13:37:21,Less than half the time,Quite a bit,9:30am,12.0,Junior,All of them,3.0,6.0,No,Prefer not to say,No,38.0,65.0
68,10/19/2025 13:52:43,Basically never,Some,9:30am,10.0,It's complicated,Some of them,4.0,9.0,Yes,B,No,42.3,65.0
69,10/19/2025 13:52:51,Always,Some,2:00pm,7.0,Senior,Some of them,0.0,7.0,No,Prefer not to say,No,36.4,65.0
70,10/19/2025 13:59:18,Less than half the time,Some,9:30am,24.0,Junior,Some of them,4.0,2.0,No,D,No,39.9,65.0
71,10/19/2025 14:00:34,Always,None,9:30am,13.0,Junior,Some of them,1.0,7.0,No,C,No,33.8,65.0
72,10/19/2025 14:16:34,Always,Some,2:00pm,5.0,Sophomore,Some of them,1.0,6.0,Yes,B,No,52.9,65.0
73,10/19/2025 14:16:49,More than half the time,Quite a bit,2:00pm,24.0,Junior,All of them,4.0,7.0,No,Prefer not to say,No,45.9,65.0
74,10/19/2025 15:16:31,Always,None,2:00pm,5.0,Junior,All of them,4.0,3.0,Yes,D,No,30.4,65.0
75,10/19/2025 15:51:23,More than half the time,Some,2:00pm,10.0,Sophomore,All of them,1.5,8.0,No,B,No,51.9,65.0
76,10/19/2025 15:59:15,Less than half the time,None,9:30am,4.0,It's complicated,Some of them,3.0,2.0,No,D,No,32.3,65.0
77,10/19/2025 16:13:11,More than half the time,None,2:00pm,10.0,Junior,All of them,1.0,1.0,Yes,A,No,30.4,65.0
78,10/19/2025 16:16:56,Always,Some,2:00pm,5.0,Junior,Some of them,3.5,6.0,No,Prefer not to say,No,55.0,65.0
79,10/19/2025 16:22:41,More than half the time,Some,9:30am,2.0,Sophomore,All of them,2.0,9.0,Yes,A,No,53.6,65.0
80,10/19/2025 16:26:56,More than half the time,Quite a bit,9:30am,4.0,Junior,Some of them,1.0,7.0,Yes,C,No,39.4,65.0
81,10/19/2025 17:11:26,Always,Quite a bit,2:00pm,8.0,Junior,Some of them,2.0,6.0,No,B,No,27.5,65.0
82,10/19/2025 17:35:38,Always,Quite a bit,2:00pm,8.0,Junior,Some of them,6.0,7.0,No,Prefer not to say,No,32.3,65.0
83,10/19/2025 17:36:16,Less than half the time,None,9:30am,12.0,Senior,Some of them,5.0,4.0,No,B,No,50.4,65.0
84,10/19/2025 17:55:05,Always,None,9:30am,9.0,Junior,Some of them,4.0,4.0,No,B,No,35.8,65.0
85,10/19/2025 18:20:02,Always,Some,2:00pm,15.0,Junior,All of them,2.0,4.0,No,C,No,30.9,65.0
86,10/19/2025 18:20:32,Always,None,2:00pm,12.0,Junior,All of them,1.0,8.0,No,B,No,45.8,65.0
87,10/19/2025 18:55:09,Always,None,2:00pm,18.0,Junior,All of them,2.0,6.0,No,D,No,27.9,65.0
88,10/19/2025 18:58:06,More than half the time,Quite a bit,2:00pm,5.0,Senior,None of them,0.0,8.0,No,C,No,41.4,65.0
89,10/19/2025 19:17:18,More than half the time,Some,9:30am,5.0,Junior,Some of them,2.0,7.0,No,B,No,48.6,65.0
90,10/19/2025 19:25:15,More than half the time,Some,9:30am,5.0,Sophomore,All of them,1.5,7.0,No,A,No,63.9,65.0
91,10/19/2025 19:27:37,Always,None,9:30am,10.0,Junior,Some of them,2.0,3.5,No,C,No,33.5,65.0
92,10/19/2025 19:28:10,Always,Some,2:00pm,8.0,Junior,All of them,0.0,7.0,No,B,No,34.8,65.0
93,10/19/2025 19:30:50,Less than half the time,Some,2:00pm,12.0,Junior,Some of them,11.0,6.0,Yes,B,No,44.4,65.0
94,10/19/2025 21:09:27,Always,Some,2:00pm,5.0,Junior,Some of them,2.0,8.0,No,B,No,53.3,65.0
95,10/19/2025 21:30:22,More than half the time,None,2:00pm,15.0,It's complicated,Some of them,3.0,4.0,No,Prefer not to say,No,23.5,65.0
96,10/19/2025 21:31:33,Less than half the time,Some,9:30am,6.0,Sophomore,Some of them,2.0,3.0,No,B,No,48.3,65.0
97,10/19/2025 22:28:51,Always,None,2:00pm,15.0,Junior,Some of them,2.0,8.0,No,B,No,49.0,65.0
98,10/19/2025 22:45:17,Less than half the time,Some,2:00pm,8.0,Junior,All of them,2.0,8.0,No,B,No,50.4,65.0
99,10/19/2025 23:38:07,Always,Some,2:00pm,8.0,Junior,Some of them,2.0,5.0,No,Prefer not to say,No,43.4,65.0
100,10/20/2025 1:28:18,Always,Some,2:00pm,12.0,Senior,All of them,0.0,4.0,No,B,Yes,47.3,65.0
101,10/20/2025 2:13:03,Always,Some,2:00pm,8.0,Junior,Some of them,3.0,2.0,No,B,No,39.3,65.0
102,10/20/2025 2:36:40,Always,None,9:30am,6.0,Junior,Some of them,2.0,8.0,Yes,C,No,46.4,65.0
103,10/20/2025 9:05:11,Always,Some,2:00pm,4.0,It's complicated,Some of them,3.0,7.0,Yes,B,No,55.9,65.0
104,10/20/2025 9:23:16,Always,None,9:30am,20.0,Junior,All of them,1.5,6.0,No,B,No,50.0,65.0
106,10/20/2025 9:55:58,Always,None,2:00pm,5.0,Junior,All of them,3.0,5.5,No,A,No,57.9,65.0
107,10/20/2025 10:07:44,More than half the time,Some,9:30am,10.0,Junior,Some of them,2.0,2.0,No,C,No,48.3,65.0
108,10/20/2025 10:09:04,Always,Some,2:00pm,5.0,Sophomore,All of them,0.0,8.0,No,B,No,53.3,65.0
110,10/20/2025 10:43:54,Less than half the time,Quite a bit,2:00pm,6.0,Senior,Some of them,2.0,6.0,No,C,No,35.5,65.0
111,10/20/2025 11:23:30,More than half the time,None,2:00pm,5.0,Junior,Some of them,2.0,7.0,No,B,No,23.3,65.0
113,10/20/2025 11:24:54,Basically never,Some,9:30am,12.0,Junior,Some of them,2.0,7.5,Yes,C,No,48.8,65.0
